Item,Spike,Matrix,Days,Recovery
1,L1,M1,Analyst 1,0.894
2,L1,M1,Analyst 1,0.924
3,L1,M1,Analyst 1,0.932
4,L1,M1,Analyst 2,0.978
5,L1,M1,Analyst 2,1.019
6,L1,M1,Analyst 2,0.984
7,L1,M2,Analyst 1,1.086
8,L1,M2,Analyst 1,1.072
9,L1,M2,Analyst 1,1.076
10,L1,M2,Analyst 2,1.091
11,L1,M2,Analyst 2,1.009
12,L1,M2,Analyst 2,1.053
13,L1,M3,Analyst 1,0.934
14,L1,M3,Analyst 1,0.978
15,L1,M3,Analyst 1,0.954
16,L1,M3,Analyst 2,0.971
17,L1,M3,Analyst 2,0.994
18,L1,M3,Analyst 2,0.948
19,L2,M1,Analyst 1,0.899
20,L2,M1,Analyst 1,0.937
21,L2,M1,Analyst 1,0.912
22,L2,M1,Analyst 2,0.949
23,L2,M1,Analyst 2,1.014
24,L2,M1,Analyst 2,0.969
25,L2,M2,Analyst 1,1.052
26,L2,M2,Analyst 1,1.041
27,L2,M2,Analyst 1,1.03
28,L2,M2,Analyst 2,0.991
29,L2,M2,Analyst 2,1.036
30,L2,M2,Analyst 2,1.09
31,L2,M3,Analyst 1,0.967
32,L2,M3,Analyst 1,0.931
33,L2,M3,Analyst 1,0.949
34,L2,M3,Analyst 2,0.97
35,L2,M3,Analyst 2,0.999
36,L2,M3,Analyst 2,1.055
37,L3,M1,Analyst 1,0.907
38,L3,M1,Analyst 1,0.908
39,L3,M1,Analyst 1,0.931
40,L3,M1,Analyst 2,0.933
41,L3,M1,Analyst 2,0.939
42,L3,M1,Analyst 2,0.953
43,L3,M2,Analyst 1,1.11
44,L3,M2,Analyst 1,1.02
45,L3,M2,Analyst 1,1.02
46,L3,M2,Analyst 2,0.992
47,L3,M2,Analyst 2,1.088
48,L3,M2,Analyst 2,0.999
49,L3,M3,Analyst 1,0.953
50,L3,M3,Analyst 1,0.936
51,L3,M3,Analyst 1,0.963
52,L3,M3,Analyst 2,0.981
53,L3,M3,Analyst 2,0.935
54,L3,M3,Analyst 2,0.993
55,L4,M1,Analyst 1,0.948
56,L4,M1,Analyst 1,0.913
57,L4,M1,Analyst 1,0.878
58,L4,M1,Analyst 2,0.935
59,L4,M1,Analyst 2,0.93
60,L4,M1,Analyst 2,0.903
61,L4,M2,Analyst 1,1.001
62,L4,M2,Analyst 1,1.029
63,L4,M2,Analyst 1,1.043
64,L4,M2,Analyst 2,1.078
65,L4,M2,Analyst 2,1.055
66,L4,M2,Analyst 2,1.076
67,L4,M3,Analyst 1,0.952
68,L4,M3,Analyst 1,0.942
69,L4,M3,Analyst 1,0.925
70,L4,M3,Analyst 2,0.994
71,L4,M3,Analyst 2,1.011
72,L4,M3,Analyst 2,1.006
